country	total population	 availablemanpower	 fitforservice	 reachingmilitaryage	 total military power 	 active personel	 reservepersonel	 paramilitary	 TOTAL AIRFORCE 	 fighters	 dedicated attack	 transports	 trainers 	 special mission 	 tanker fleet 	 helicopters 	 attack helicopters	 tanks 	 armored vehicles 	 selfpropeled artilery	 tower artilery 	 rocketprojectors 	 TOTALNAVAL 	 aircraft carriers 	 helicopter carrier	 destroyer 	 frigates	 corvetes 	 submarines 	 patrol 	 minewarfare	 oil production 	 oil consumption 	 proven oil reserves	 labor force	 mechanr marine	 ports and terminals 	 roadwaycoverage 	 railway coverage 	 servicable airports 	 defense budget 	 external debt 	 res of foureign exchange/gold 	 purchasing power parity	 square land area 	 coastline coverage 	 shared borders 	 usable waterways
romania	21302893	11077504	9083554	227089	180000 	70000	50000	60000	145	28	0	11	42	2	0	62	0	675	1500	0	800	240	48	0	0	0	3	7	0	3	5	70000 	240000 	600000000 	4889000	120	6	82386 	10785 	45	5900000000 	95970000000 	44430000000 	509000000000 	238391 	225  	2844 	1731 	
russia	141722205	69443880	46527400	1302767	3569000 	1014000	2000000	555000	4144	789	742	429	495	130	19	1540	538	13000	27100	6540	4465	3860	603	1	0	15	11	85	64	55	48	10760000 	3225000 	80000000000 	69923000	2739	8	982000 	87157 	1218	42129000000 	539600000000 	432700000000 	4025000000000 	17098242 	37653  	22408 	102000 	
serbia	7012165	3435961	2714409	81432	84000 	30000	50000	4000	113	6	17	1	38	0	0	51	4	304	1200	93	144	70	19	0	0	0	0	0	0	6	4	17000 	75000 	77500000 	3000000	0	1	41913 	3379 	26	1140000000 	29500000000 	11910000000 	108050000000 	77474 	0  	2322 	587 	
slovakia	5440602	2774707	2303007	62181	16000 	16000	0	0	50	10	0	7	8	1	0	24	0	20	460	16	9	25	0	0	0	0	0	0	0	0	0	200 	82000 	9000000 	2511000	0	2	43916 	3622 	35	2335000000 	75040000000 	3622000000 	185450000000 	49035 	0  	1587 	172 	
slovenia	2102678	1009285	827614	20690	15000 	7500	1500	6000	37	0	0	3	22	0	0	12	0	44	305	8	18	0	2	0	0	0	0	0	0	2	0	5 	55000 	0 	885000	8	1	38985 	1228 	16	545000000 	46300000000 	889900000 	74000000000 	20273 	47  	1211 	0 	
spain	50015792	23007264	18635884	372718	216000 	125000	15000	76000	519	140	12	47	163	15	9	133	24	327	3500	96	140	0	77	1	0	0	11	0	2	23	6	1700 	1226000 	150000000 	19057000	119	12	681298 	15293 	135	12854000000 	2094000000000 	69410000000 	1830000000000 	505370 	4964  	1953 	1000 	
sweden	10202491	4080996	3428037	102841	51200 	30000	0	21200	204	71	0	6	69	4	1	53	0	120	5700	48	0	0	63	0	0	0	0	7	5	297	9	0 	320000 	0 	5029000	360	11	572900 	11633 	231	7475000000 	939900000000 	62220000000 	530000000000 	450295 	3218  	2211 	2052 	
switzerland	8403994	3613717	2999385	89982	239000 	21000	218000	0	160	54	0	17	46	1	0	42	0	134	2315	224	0	0	0	0	0	0	0	0	0	0	0	0 	260000 	0 	5067000	32	1	71454 	4876 	63	5070000000 	1664000000000 	811200000000 	531500000000 	41277 	0  	1770 	1299 	
turkey	82017514	41874832	35174859	1406994	895000 	355000	380000	160000	1056	206	0	80	273	19	7	471	104	3045	11630	943	1200	407	149	0	0	0	16	10	12	35	11	55000 	845000 	341600000 	25677000	1234	10	352046 	8699 	98	17300000000 	452400000000 	107700000000 	2300000000000 	783562 	7200  	2816 	1200 	
ukraine	43922083	22400262	15680184	470406	1245000 	255000	900000	90000	285	42	25	31	71	5	0	111	34	2430	11435	785	2040	550	25	0	0	0	1	0	0	11	1	32000 	325000 	395000000 	17990000	408	6	169495 	21658 	187	9600000000 	130000000000 	18810000000 	378450000000 	603550 	2782  	5618 	2150 	
united-kingdom	65761117	30250114	24200091	750203	275000 	195000	80000	0	738	119	15	45	244	30	9	269	38	109	5500	89	126	35	88	2	0	6	13	0	11	25	13	1000000 	1600000 	2069000000 	35412000	1426	16	394428 	16454 	460	56042000000 	8126000000000 	150800000000 	2974000000000 	243610 	12429  	443 	3200 	
united-states-of-america	332639102	146361205	121479800	4251793	2245500 	1400000	845500	0	13233	1956	761	945	2765	749	625	5436	904	6100	40000	1500	1340	1365	490	11	10	92	0	21	68	13	8	11000000 	20000000 	35000000000 	146128000	3673	35	6586610 	224792 	13513	740500000000 	17910000000000 	123300000000 	19500000000000 	9826675 	19924  	12048 	41009 	
